# This table is a summary of properties of many of the known transiting exoplanets.
#
# name = name of the planet
# RA = right ascension of the system on the sky (in degrees)
# Dec = declination of the system on the sky (in degrees)
# magnitude_J = brightness of the star (in J-band, 1.1-1.3 microns; magnitudes)
# distance = distance to the star, in parsecs
# stellar_mass = mass of the star, in solar masses
# stellar_radius = radius of the star, in solar radii
# stellar_luminosity = luminosity of the star, relative to the Sun
# stellar_temperature = temperature of the star, in K
# planet_mass = mass of planet, in Earth masses
# planet_radius = radius of planet, in Earth radii
# planet_period = period of planet, in days
# planet_semimajor = semimajor axis of planet's orbit, in AU
# planet_heatreceived = the flux of heat received by the planet, in W/m^2 (for comparison, Earth receives 1360 W/m^2 from the Sun)
# transit_depth = the fraction of starlight the planet blocks
#

           name |         RA |        Dec | magnitude_J | distance | stellar_mass | stellar_radius | stellar_luminosity | stellar_temperature | planet_mass |  planet_radius | planet_period | planet_semimajor | planet_heatreceived |     transit_depth
      CoRoT-26b | 279.750514 |   6.969787 |      13.813 |   1670.0 |         1.09 |           1.79 |      2.80312161206 |              5590.0 |      165.26 |          14.12 |       4.20474 |  0.0522738268627 |       1403903.90506 |  0.00523066491298
      CoRoT-27b | 278.495813 |   5.538462 |      13.571 |      nan |         1.05 |           1.08 |      1.26632215121 |              5900.0 |     3302.11 |         11.287 |       3.57532 |  0.0476106064256 |       764541.052143 |  0.00918127734841
      CoRoT-28b | 278.688338 |    5.57373 |      11.601 |    560.0 |         1.01 |           1.78 |       1.9969057481 |              5150.0 |   153.82972 |         10.705 |       5.20851 |  0.0603419236501 |       750556.339471 |  0.00304037327424
      CoRoT-29b | 278.902103 |   6.479651 |      13.565 |    765.0 |         0.97 |            0.9 |     0.555541672311 |              5260.0 |    270.1555 |         10.088 |       2.85057 |  0.0385873585833 |       510611.477343 |   0.0105613320205
       CoRoT-2b | 291.777056 |   1.383714 |      10.783 |    200.0 |         0.96 |           0.91 |     0.742782286055 |              5625.0 |     1102.82 |         16.432 |     1.7429935 |  0.0279610935359 |       1300221.26884 |   0.0274089018399
       CoRoT-3b | 292.055263 |    0.12182 |      11.936 |    680.0 |         1.37 |           1.56 |      4.49963648086 |              6740.0 |     6883.91 |          11.32 |        4.2568 |  0.0565836321091 |       1923356.62949 |  0.00442626309538
       CoRoT-4b | 102.194663 |  -0.672774 |      12.619 |      nan |         1.16 |           1.17 |      1.80062371582 |              6190.0 |      228.83 |          13.34 |       9.20205 |  0.0944511397514 |        276231.11242 |    0.010927819258
       CoRoT-5b | 101.277254 |   0.815239 |      12.871 |      nan |          1.0 |           1.19 |      1.75671742513 |              6100.0 |      148.42 |         15.558 |     4.0378962 |  0.0496253211138 |       976246.031772 |   0.0143683592871
       CoRoT-6b | 281.072525 |   6.663194 |      12.518 |      nan |         1.05 |           1.02 |      1.28220704977 |              6090.0 |      940.74 |         13.068 |      8.886593 |   0.085093077518 |       242344.814293 |    0.013797851793
       CoRoT-7b | 100.956125 |  -1.063033 |      10.301 |    153.7 |         0.91 |           0.82 |     0.460817575175 |              5259.0 |        4.73 |          1.585 |    0.85359159 |  0.0170982269255 |       2157202.49241 | 0.000314068511335
       CoRoT-8b | 291.588518 |   1.426452 |      12.154 |    380.0 |         0.88 |           0.77 |      0.35377321291 |              5080.0 |       69.92 |           6.39 |       6.21229 |  0.0630195087396 |       121909.893395 |  0.00578913708477
       CoRoT-9b | 280.786712 |   6.204172 |      12.175 |    460.0 |         0.99 |           0.94 |     0.792564216831 |              5625.0 |      266.97 |          11.77 |       95.2738 |   0.406520473289 |       6563.47216844 |   0.0131792527269
EPIC 211351816b | 127.762836 |  10.847586 |      10.694 |    763.0 |         1.16 |            4.2 |       8.3201140738 |              4790.0 |     349.613 |         14.684 |        8.4061 |  0.0850123968236 |       1575537.67128 |  0.00102750451411
EPIC 211391664b | 126.488289 |  11.511145 |      11.124 |    435.0 |         1.07 |           1.31 |      2.15693434705 |              6120.0 |        32.2 |            4.3 |      10.13675 |  0.0937400311862 |       335931.532595 | 0.000905707340329
       GJ 1132b | 153.715737 | -47.156727 |       9.245 |    12.04 |         0.18 |           0.21 |   0.00451770892958 |              3270.0 |        1.62 |           1.13 |       1.62893 |  0.0156246715883 |       25325.6431585 |  0.00243395119245
       GJ 1214b | 258.828837 |    4.96392 |        9.75 |    14.55 |         0.16 |          0.211 |   0.00446124120311 |              3252.0 |        6.19 |          2.821 |    1.58040456 |   0.014345029586 |       29669.9517756 |   0.0150257040071
       GJ 3470b | 119.774349 |  15.391492 |       8.794 |     25.2 |         0.51 |           0.48 |    0.0367192833524 |              3652.0 |       13.73 |           3.88 |     3.3366487 |  0.0311154174202 |       51904.7335445 |  0.00549255663971
        GJ 436b | 175.546219 |   26.70657 |         6.9 |    10.23 |         0.47 |           0.46 |    0.0258152156754 |              3416.0 |        22.1 |           4.17 |    2.64388312 |  0.0293697323862 |       40958.1009032 |  0.00690796318267
      HAT-P-11b | 297.709351 |  48.080856 |       7.608 |     38.0 |         0.81 |           0.75 |     0.263101157987 |              4780.0 |      25.743 |           4.73 |     4.8878162 |  0.0543375855683 |       121951.211129 |  0.00334343837112
      HAT-P-12b | 209.389489 |  43.493534 |      10.794 |    142.5 |         0.73 |            0.7 |     0.205256319833 |              4650.0 |      67.059 |         10.749 |     3.2130598 |  0.0383129967905 |       191367.561918 |   0.0198213674873
      HAT-P-13b | 129.882536 |  47.352051 |       9.328 |    214.0 |         1.22 |           1.56 |       2.2266593714 |              5653.0 |     270.462 |         14.258 |       2.91625 |  0.0427482086273 |       1667561.94946 |  0.00702201239459
